CMDLINE /Users/georgeanton/Desktop/Interviews/blogs/advanced_concepts/python_concepts/venv/bin/python3.10 particle.py
MEM 73.460938 1676511458.2332
MEM 73.460938 1676511458.3369
MEM 73.460938 1676511458.4416
MEM 73.460938 1676511458.5443
MEM 73.460938 1676511458.6486
MEM 73.460938 1676511458.7528
MEM 73.460938 1676511458.8560
MEM 73.460938 1676511458.9607
MEM 73.460938 1676511459.0648
MEM 73.460938 1676511459.1696
MEM 73.460938 1676511459.2724
MEM 73.460938 1676511459.3764
MEM 73.460938 1676511459.4806
MEM 73.460938 1676511459.5846
MEM 73.460938 1676511459.6872
MEM 73.460938 1676511459.7884
MEM 73.460938 1676511459.8919
MEM 73.460938 1676511459.9971
MEM 73.460938 1676511460.1017
MEM 73.460938 1676511460.2061
MEM 73.460938 1676511460.3099
MEM 73.460938 1676511460.4152
MEM 73.460938 1676511460.5182
MEM 73.460938 1676511460.6225
MEM 73.460938 1676511460.7259
MEM 73.460938 1676511460.8280
MEM 73.460938 1676511460.9332
MEM 73.460938 1676511461.0370
MEM 73.460938 1676511461.1420
MEM 73.460938 1676511461.2429
MEM 73.460938 1676511461.3481
MEM 73.460938 1676511461.4521
MEM 73.460938 1676511461.5568
MEM 73.460938 1676511461.6580
MEM 73.460938 1676511461.7593
MEM 73.460938 1676511461.8641
MEM 73.460938 1676511461.9660
MEM 73.460938 1676511462.0675
MEM 73.460938 1676511462.1707
MEM 73.460938 1676511462.2750
MEM 73.460938 1676511462.3791
MEM 73.460938 1676511462.4804
MEM 73.460938 1676511462.5812
MEM 73.460938 1676511462.6823
MEM 73.460938 1676511462.7868
MEM 73.460938 1676511462.8951
MEM 73.460938 1676511462.9997
MEM 73.460938 1676511463.1017
MEM 73.460938 1676511463.2064
MEM 73.460938 1676511463.3069
MEM 73.460938 1676511463.4089
MEM 73.460938 1676511463.5109
MEM 73.460938 1676511463.6124
MEM 73.460938 1676511463.7173
MEM 73.460938 1676511463.8217
MEM 73.460938 1676511463.9243
MEM 73.460938 1676511464.0285
MEM 73.460938 1676511464.1328
MEM 73.460938 1676511464.2335
MEM 73.460938 1676511464.3368
